product_id,product_name,description,brand,color,size,price,material,target_category
P1000,Belt,Belt with high quality features for everyday use,Samsung,Black,N/A,3258.68,Wood,Accessories
P1001,Belt,Belt with high quality features for everyday use,Wildcraft,Green,S,1166.15,Leather,Accessories
P1002,Running Shoes,Running Shoes with high quality features for everyday use,Nike,Green,XL,497.23,Steel,Footwear
P1003,Skipping Rope,Skipping Rope with high quality features for everyday use,Roadster,White,1.5L,1262.66,Rubber,Sports
P1004,Belt,Belt with high quality features for everyday use,Roadster,White,1.5L,821.96,Silicon,Accessories
P1005,Leather Wallet,Leather Wallet with high quality features for everyday use,SG,Grey,XL,3215.25,Mesh,Accessories
P1006,Leather Wallet,Leather Wallet with high quality features for everyday use,Nike,Brown,43inch,148.72,Cotton,Accessories
P1007,Cotton T-Shirt,Cotton T-Shirt with high quality features for everyday use,SG,Grey,S,665.33,Silicon,Clothing
P1008,Backpack,Backpack with high quality features for everyday use,Nike,Black,6mm,1449.13,Mesh,Accessories
P1009,Sandals,Sandals with high quality features for everyday use,Roadster,White,6mm,1963.14,Steel,Footwear
P1010,Skipping Rope,Skipping Rope with high quality features for everyday use,Samsung,Green,S,3101.06,Mesh,Sports
P1011,Wireless Headphones,Wireless Headphones with high quality features for everyday use,Samsung,Brown,N/A,3215.66,Cotton,Electronics
P1012,Laptop,Laptop with high quality features for everyday use,Samsung,Blue,1.5L,2108.55,Mesh,Electronics
P1013,Watch,Watch with high quality features for everyday use,Samsung,Red,M,100.0,Rubber,Accessories
P1014,Formal Shoes,Formal Shoes with high quality features for everyday use,boAt,Green,Full,1637.37,Rubber,Footwear
P1015,Formal Shirt,Formal Shirt with high quality features for everyday use,Wildcraft,Yellow,1.5L,1777.14,Mesh,Clothing
P1016,Mixer Grinder,Mixer Grinder with high quality features for everyday use,Roadster,Green,Full,1009.09,Steel,Home Appliances
P1017,Sweater,Sweater with high quality features for everyday use,Nike,Green,L,2105.37,Mesh,Clothing
P1018,Leather Wallet,Leather Wallet with high quality features for everyday use,Sony,White,9,442.76,Silicon,Accessories
P1019,Formal Shoes,Formal Shoes with high quality features for everyday use,Samsung,Grey,M,1636.71,Wood,Footwear
P1020,Football,Football with high quality features for everyday use,boAt,Black,L,100.0,Leather,Sports
P1021,Formal Shirt,Formal Shirt with high quality features for everyday use,Wildcraft,Blue,S,2201.3,Mesh,Clothing
P1022,Power Bank,Power Bank with high quality features for everyday use,Puma,Green,6mm,2303.51,Rubber,Electronics
P1023,Sandals,Sandals with high quality features for everyday use,Philips,Blue,XL,1860.91,Silicon,Footwear
P1024,Running Shoes,Running Shoes with high quality features for everyday use,Nike,Red,XL,1794.68,Leather,Footwear
P1025,Yoga Mat,Yoga Mat with high quality features for everyday use,Nike,Black,43inch,3006.76,Steel,Sports
P1026,Wireless Headphones,Wireless Headphones with high quality features for everyday use,Philips,Grey,43inch,2939.81,Silicon,Electronics
P1027,Cricket Bat,Cricket Bat with high quality features for everyday use,Nike,Brown,6mm,1548.1,Wood,Sports
P1028,Football,Football with high quality features for everyday use,Philips,Black,9,1158.13,Mesh,Sports
P1029,Sweater,Sweater with high quality features for everyday use,Van Heusen,Grey,M,2497.68,Leather,Clothing
P1030,LED TV,LED TV with high quality features for everyday use,Nike,Grey,Full,829.35,Leather,Electronics
P1031,Wireless Headphones,Wireless Headphones with high quality features for everyday use,Sony,Green,6mm,2477.26,Leather,Electronics
P1032,Smart Watch,Smart Watch with high quality features for everyday use,Sony,Green,1.5L,2049.98,Cotton,Electronics
P1033,Sneakers,Sneakers with high quality features for everyday use,Van Heusen,Yellow,N/A,1713.46,Steel,Footwear
P1034,Sandals,Sandals with high quality features for everyday use,boAt,Yellow,6mm,2275.83,Rubber,Footwear
P1035,Sandals,Sandals with high quality features for everyday use,Puma,Brown,1.5L,100.0,Cotton,Footwear
P1036,Watch,Watch with high quality features for everyday use,boAt,Black,6mm,1864.88,Silicon,Accessories
P1037,Sandals,Sandals with high quality features for everyday use,Nike,Green,1.5L,896.72,Plastic,Footwear
P1038,Power Bank,Power Bank with high quality features for everyday use,Van Heusen,Green,M,1183.33,Cotton,Electronics
P1039,Toaster,Toaster with high quality features for everyday use,Puma,White,Full,100.0,Rubber,Home Appliances
P1040,Badminton Racket,Badminton Racket with high quality features for everyday use,Roadster,Brown,43inch,1264.53,Steel,Sports
P1041,Jacket,Jacket with high quality features for everyday use,Philips,Black,9,563.72,Steel,Clothing
P1042,Jacket,Jacket with high quality features for everyday use,SG,White,S,486.14,Plastic,Clothing
P1043,Sandals,Sandals with high quality features for everyday use,Van Heusen,Black,XL,513.9,Plastic,Footwear
P1044,Smart Watch,Smart Watch with high quality features for everyday use,boAt,Yellow,9,1190.86,Steel,Electronics
P1045,Skipping Rope,Skipping Rope with high quality features for everyday use,Puma,Red,6mm,1908.59,Plastic,Sports
P1046,Power Bank,Power Bank with high quality features for everyday use,SG,Green,L,100.0,Cotton,Electronics
P1047,Iron,Iron with high quality features for everyday use,boAt,Brown,L,1017.9,Wood,Home Appliances
P1048,Cricket Bat,Cricket Bat with high quality features for everyday use,Sony,White,6mm,1333.01,Mesh,Sports
P1049,Sweater,Sweater with high quality features for everyday use,Van Heusen,Blue,9,2849.47,Steel,Clothing
P1050,Skipping Rope,Skipping Rope with high quality features for everyday use,Samsung,Brown,M,2089.96,Silicon,Sports
P1051,Watch,Watch with high quality features for everyday use,Samsung,Brown,Full,100.0,Mesh,Accessories
P1052,Laptop,Laptop with high quality features for everyday use,Roadster,Red,M,2620.56,Mesh,Electronics
P1053,Toaster,Toaster with high quality features for everyday use,Wildcraft,Red,L,670.18,Steel,Home Appliances
P1054,Formal Shoes,Formal Shoes with high quality features for everyday use,SG,Yellow,43inch,1647.94,Steel,Footwear
P1055,Formal Shirt,Formal Shirt with high quality features for everyday use,boAt,Yellow,9,100.0,Silicon,Clothing
P1056,Sneakers,Sneakers with high quality features for everyday use,SG,Blue,1.5L,2376.51,Cotton,Footwear
P1057,Laptop,Laptop with high quality features for everyday use,SG,Green,M,2375.31,Mesh,Electronics
P1058,Toaster,Toaster with high quality features for everyday use,Puma,White,M,1546.36,Plastic,Home Appliances
P1059,Formal Shoes,Formal Shoes with high quality features for everyday use,Nike,White,43inch,2355.03,Silicon,Footwear
P1060,Jeans,Jeans with high quality features for everyday use,boAt,White,XL,2192.36,Wood,Clothing
P1061,Yoga Mat,Yoga Mat with high quality features for everyday use,Sony,Grey,XL,3648.81,Plastic,Sports
P1062,Yoga Mat,Yoga Mat with high quality features for everyday use,Samsung,Brown,S,2536.13,Steel,Sports
P1063,Mixer Grinder,Mixer Grinder with high quality features for everyday use,Roadster,Black,XL,1019.91,Rubber,Home Appliances
P1064,Running Shoes,Running Shoes with high quality features for everyday use,Puma,Brown,1.5L,1768.22,Rubber,Footwear
P1065,Smart Watch,Smart Watch with high quality features for everyday use,Samsung,Grey,6mm,302.63,Wood,Electronics
P1066,Power Bank,Power Bank with high quality features for everyday use,Philips,Black,M,2731.42,Mesh,Electronics
P1067,Badminton Racket,Badminton Racket with high quality features for everyday use,boAt,Blue,M,2900.21,Silicon,Sports
P1068,Formal Shoes,Formal Shoes with high quality features for everyday use,Roadster,Green,M,455.53,Silicon,Footwear
P1069,Cotton T-Shirt,Cotton T-Shirt with high quality features for everyday use,Nike,Red,N/A,2588.91,Silicon,Clothing
P1070,Formal Shirt,Formal Shirt with high quality features for everyday use,Roadster,Brown,43inch,1176.42,Mesh,Clothing
P1071,Laptop,Laptop with high quality features for everyday use,Sony,Green,XL,872.95,Cotton,Electronics
P1072,Football,Football with high quality features for everyday use,Nike,Brown,M,1912.13,Rubber,Sports
P1073,Laptop,Laptop with high quality features for everyday use,Sony,Grey,43inch,2011.22,Leather,Electronics
P1074,Jeans,Jeans with high quality features for everyday use,Samsung,Red,S,861.57,Steel,Clothing
